"PD"	"SR"
"Axiocerses harpax"	448.785472	2
"Azanus mirza"	443.629754	2
"Azanus natalensis"	325.050502	1
"Azanus ubaldus"	325.050502	1
"Badamia exclamationis"	638.38437	4
"Baliochila barnesi"	0	0
"Baoris farri"	325.050732	1
"Baoris oceia"	325.050732	1
"Baracus vittatus"	325.050732	1
"Baronia brevicornis"	325.050502	1
"Batesia hypochlora"	325.050651	1
"Battus belus"	325.05077	1
"Battus polydamas"	325.05077	1
"Bebearia sophus"	437.391594	2
"Belenois calypso"	443.629485	2
"Belenois creona"	487.063085	3
"Belenois java"	325.050465	1
"Belenois subeida"	325.050465	1
"Berberia abdelkader"	325.050732	1
"Bhagadatta austenia"	460.963315	2
"Bhutanitis mansfieldi"	325.05077	1
"Bhutanitis thaidina"	325.05077	1
"Bia actorion"	325.050282	1
"Bibasis sena"	567.36355	3
"Biblis hyperia"	440.836281	2
"Bicyclus anynana"	325.050732	1
"Bindahara phocides"	564.571432	3
"Boloria pales"	555.526918	3
"Borbo borbonica"	325.050732	1
"Borbo cinnara"	325.050732	1
"Brassolis sophorae"	481.520562	3
"Brenthis daphne"	440.836938	2
"Brenthis ino"	757.894448	5
"Brephidium exilis"	532.775752	3
"Brevioleria arzalia"	325.050802	1
"Brintesia circe"	418.872232	2
"Bungalotis astylos"	325.050262	1
"Bungalotis erythus"	325.050262	1
"Burara harisa"	567.550842	3
"Burara oedipodea"	443.6292	2
"Burmaozephyrus kothayaungi"	325.050512	1
"Butleria flavomaculatus"	325.050732	1
"Byblia anvatara"	448.785193	2
"Byblia ilithyia"	325.050651	1
"Cabares potrillo"	325.050576	1
"Cacyreus lingeus"	448.785002	2
"Caenides dacela"	325.050282	1
"Calephelis nemesis"	456.731572	2
"Calephelis perditalis"	325.050272	1
"Calephelis virginiensis"	325.050272	1
"Caleta caleta"	325.050852	1
"Caligo eurilochus"	583.880732	5
"Calinaga buddha"	325.050862	1
"Calleagris jamesoni"	325.050502	1
"Callerebia annada"	325.050732	1
"Callicore astarte"	325.050844	1
"Callithomia lenea"	325.050802	1
"Callophrys rubi"	1148.519285	9
"Calpodes ethlius"	465.649832	4
"Caltoris cormasa"	325.050732	1
"Calycopis cecrops"	761.55248	5
"Calydna sturnula"	325.050922	1
"Candalides xanthospilos"	325.050705	1
"Caprona pillaana"	325.050645	1
"Capronnieria galesus"	325.050732	1
"Capys alpheus"	325.050662	1
"Carcharodus alceae"	443.629704	2
"Carcharodus lavatherae"	325.050552	1
"Caria ino"	460.809982	2
"Caria mantinea"	325.050872	1
"Carrhenes canescens"	325.050645	1
"Carterocephalus palaemon"	325.050732	1
"Carystus phorcus"	325.050282	1
"Cassionympha cassius"	418.871532	2
"Castalius rosimon"	325.050852	1
"Catacroptera cloanthe"	414.801402	2
"Catapaecilma elegans"	443.629365	2
"Catapaecilma major"	1048.6236	8
"Catasticta nimbice"	325.05083	1
"Catochrysops strabo"	443.629754	2
"Catonephele numilia"	584.698038	3
"Catopsilia scylla"	325.050502	1
"Catopyrops ancyra"	729.614617	5
"Celaenorrhinus aurivittata"	325.050562	1
"Celaenorrhinus leucocera"	325.049922	1
"Celaenorrhinus patula"	325.049922	1
"Celastrina argiolus"	1143.113632	9
"Celotes nessus"	325.050645	1
"Cephrenes augiades"	325.050282	1
"Cepora nerissa"	363.328765	2
"Ceratinia neso"	325.050802	1
"Ceratrichia phocion"	325.050732	1
"Cerautola ceraunia"	0	0
"Cercyonis oetus"	325.050732	1
"Cercyonis pegala"	554.630686	3
"Cethosia biblis"	325.050658	1
"Cethosia cydippe"	448.785258	2
"Chaetocneme critomedia"	823.622587	5
"Chaetoprocta odata"	325.050542	1
"Chalinga elwesi"	325.0504	1
"Chalodeta lypera"	443.629711	2
"Chalybs janias"	448.784702	2
"Charana mandarinus"	325.050922	1
"Charaxes bernardus"	764.607346	5
"Charaxes brutus"	627.036869	4
"Charaxes contrarius"	325.050502	1
"Charaxes jasius"	1338.554481	10
"Charaxes varanes"	404.967844	2
"Charaxes zoolina"	325.050502	1
"Charis anius"	325.050272	1
"Chazara briseis"	325.050732	1
"Cheritra freja"	1023.597457	7
"Chersonesia rahria"	325.050862	1
"Chilades lajus"	523.545834	3
"Chillanella stelligera"	325.050732	1
"Chioides albofasciatus"	325.050502	1
"Chioides catillus"	325.050502	1
"Chiomara asychis"	564.571157	3
"Chiomara georgina"	325.050687	1
"Chiomara mithrax"	325.050552	1
"Chitoria chrysolora"	325.050872	1
"Chloreuptychia arnaca"	325.050732	1
"Chloroselas esmeralda"	325.050502	1
"Chloroselas pseudozeritis"	325.050502	1
"Chlorostrymon simaethis"	895.538814	6
"Chlosyne janais"	325.049922	1
"Choaspes benjaminii"	325.050662	1
"Chondrolepis niveicornis"	325.050732	1
"Choranthus haitensis"	325.050732	1
"Choranthus radians"	325.050732	1
"Chorinea licursis"	325.050612	1
"Chrysoplectrum perniciosus"	325.050502	1
"Chrysoplectrum pervivax"	325.050502	1
"Chrysoritis oreas"	325.05083	1
"Chrysozephyrus ataxus"	325.050512	1
"Chrysozephyrus smaragdina"	436.199212	2
"Cigaritis takanonis"	0	0
"Cigaritis zohra"	443.629595	2
"Cirrochroa aoris"	325.050678	1
"Cirrochroa orissa"	325.050678	1
"Cissia confusa"	779.463122	6
"Cissia labe"	431.784452	2
"Cissia myncea"	325.050732	1
"Cissia palladia"	418.872232	2
"Cissia penelope"	418.872232	2
"Citrinophila erastus"	0	0
"Cobalus calvina"	325.050282	1
"Codatractus alcaeus"	325.050502	1
"Codatractus arizonensis"	325.050502	1
"Codatractus valeriana"	325.050502	1
"Coeliades forestan"	993.570528	7
"Coeliades ramanatek"	443.630134	2
"Coelites nothis"	325.050282	1
"Coenonympha pamphilus"	325.050732	1
"Coenyra hebe"	325.050732	1
"Cogia calchas"	325.050502	1
"Cogia hippalus"	325.050502	1
"Colias croceus"	325.050502	1
"Colias hyale"	325.050502	1
"Colobura dirce"	672.709604	4
"Colotis amata"	429.964865	3
"Colotis evagore"	325.050465	1
"Conga chydaea"	325.050952	1
"Consul fabius"	325.05077	1
"Copaeodes aurantiaca"	325.050732	1
"Corades medeba"	325.050732	1
"Coreana raphaelis"	448.785122	2
"Coreana stygiana"	325.050562	1
"Corticea corticea"	325.050732	1
"Creon cleobis"	325.050922	1
"Creonpyge creon"	325.050262	1
"Cressida cressida"	325.05077	1
"Croitana croites"	325.050732	1
"Croniades pieria"	325.05054	1
"Crudaria leroma"	325.050502	1
"Cunizza hirlanda"	325.050922	1
"Cupha erymanthis"	641.14919	4
"Cupido comyntas"	325.050502	1
"Cupido moorei"	454.169952	3
"Cupidopsis cissus"	325.050502	1
"Cupidopsis jobates"	325.050502	1
"Cupitha purreea"	448.784415	2
"Curetis bulis"	443.629764	2
"Curetis saronis"	325.050502	1
"Curetis tagalica"	325.050502	1
"Cyaniris semiargus"	325.050502	1
"Cybdelis phaesyla"	325.050651	1
"Cyclargus ammon"	658.558009	4
"Cyclargus thomasi"	443.629754	2
"Cycloglypha thrasibulus"	460.962982	2
"Cyclyrius webbianus"	325.050502	1
"Cyllopsis pyracmon"	325.050732	1
"Cymothoe lurida"	509.413498	3
"Cynandra opis"	325.050735	1
"Cynea cynea"	325.050732	1
"Cyrestis acilia"	325.050862	1
"Cyrestis nivea"	325.050862	1
"Dachetola azora"	325.050922	1
"Daedalma dinias"	325.050732	1
"Daimio tethys"	558.688518	3
"Danaus chrysippus"	325.050552	1
"Danaus eresimus"	385.098052	2
"Danaus erippus"	325.050552	1
"Danaus gilippus"	325.050552	1
"Danaus melanippus"	645.278466	4
"Danaus plexippus"	325.050552	1
"Danis danis"	553.538491	3
"Dapidodigma demeter"	543.444248	3
"Darpa pteria"	325.05054	1
"Dasyophthalma rusina"	431.784452	2
"Davidina armandi"	325.050752	1
"Decinea decinea"	325.050282	1
"Delias descombesi"	325.050922	1
"Delias henningia"	325.050922	1
"Delias pasithoe"	406.52363	2
"Deloneura ochrascens"	0	0
"Dercas verhuelli"	325.050502	1
"Detritivora gynaea"	460.809122	2
"Deudorix antalus"	941.816834	7
"Deudorix epijarbas"	767.140883	5
"Diaethria anna"	325.050872	1
"Diaethria clymena"	443.629925	2
"Dianesia carteri"	437.752392	2
"Dichorragia nesimachus"	325.050662	1
"Dilipa morgiana"	325.050872	1
"Dingana dingana"	460.809261	2
"Dione juno"	325.050658	1
"Dira clytus"	325.050732	1
"Dircenna jemina"	325.050802	1
"Discolampa ethion"	325.050852	1
"Discophora celinde"	431.784452	2
"Dismorphia theucharila"	325.050502	1
"Dispar compacta"	533.472742	3
"Dixeia charina"	325.050465	1
"Dixeia doxo"	325.050465	1
"Dodona deodata"	325.050484	1
"Doleschallia bisaltide"	517.296632	3
"Doleschallia polibete"	325.049922	1
"Doxocopa agathina"	325.050872	1
"Drephalys kidonoi"	325.050662	1
"Drupadia ravindra"	796.083916	5
"Dryadula phaetusa"	325.050658	1
"Dryas iulia"	325.050658	1
"Dubiella dubius"	325.050282	1
"Dulcedo polita"	444.822632	2
"Durbania amakosa"	0	0
"Durbaniella clarki"	0	0
"Durbaniopsis saga"	0	0
"Dymasia dymas"	325.049922	1
"Dynamine postverta"	325.050651	1
"Dynastor darius"	325.051232	1
"Dyscophellus porcius"	325.050651	1
"Eagris sabadius"	509.226384	3
"Eantis mithridates"	325.049924	1
"Eantis thraso"	325.049924	1
"Ebusus ebusus"	325.050282	1
"Echinargus isola"	325.050502	1
"Eetion elia"	325.050667	1
"Elbella iphinous"	460.963225	2
"Elbella patrobas"	325.050645	1
"Elbella scylla"	443.6292	2
"Elina montrolii"	325.050732	1
"Elodina padusa"	325.050465	1
"Elymnias hypermnestra"	325.050282	1
"Elymnias nesaea"	325.050282	1
"Elymniopsis bammakoo"	325.050282	1
"Elzunia pavonii"	325.050552	1
"Emesis ares"	325.050512	1
"Emesis brimo"	564.571107	3
"Emesis cypria"	325.050792	1
"Emesis emesia"	437.752372	2
"Emesis lacrines"	1001.483973	7
"Emesis lucinda"	325.050302	1
"Emesis mandana"	2572.460746	22
"Emesis ocypore"	325.050792	1
"Emesis tegula"	456.731602	2
"Emesis tenedia"	325.050792	1
"Emesis zela"	437.752012	2
"Eogenes alcides"	325.050282	1
"Eooxylides tharis"	444.822932	2
"Epargyreus clarus"	325.050502	1
"Epargyreus spanna"	431.791762	2
"Ephyriades arcas"	567.36434	3
"Ephyriades brunnea"	440.836947	2
"Epiphile orea"	325.050844	1
"Episcada salvinia"	325.050802	1
"Epitola urania"	0	0
"Epityches eupompe"	325.050802	1
"Eracon paulinus"	325.050645	1
"Erebia epiphron"	325.050732	1
"Erebia ligea"	418.872232	2
"Eretris porphyria"	325.050732	1
"Erikssonia acraeina"	325.050705	1
"Erionota acroleucus"	325.050282	1
"Erionota thrax"	642.926142	5
"Eroessa chiliensis"	325.050272	1
"Eronia cleodora"	391.686565	2
"Erora quaderna"	672.635282	4
"Erynnis brizo"	325.050512	1
"Erynnis horatius"	437.752012	2
"Erynnis tages"	448.784712	2
"Eryphanis automedon"	325.050732	1
"Erysichton lineata"	579.110154	3
"Eteona tisiphone"	325.050732	1
"Etesiolaus catori"	325.050494	1
"Euapatura mirza"	325.050862	1
"Euaspa milionia"	325.050512	1
"Eucheira socialis"	325.050542	1
"Euchloe ausonia"	325.050395	1
"Euchloe ausonides"	325.050395	1
"Euchrysops cnejus"	325.050502	1
"Eueides isabella"	325.050658	1
"Euliphyra hewitsoni"	0	0
"Eumaeus atala"	797.924051	3
"Eumaeus minyas"	325.0504	1
"Eumedonia eumedon"	325.050402	1
"Eunica monima"	404.968324	2
"Euphaedra neophron"	325.050844	1
"Euphilotes enoptes"	325.050152	1
"Euphydryas editha"	463.343872	4
"Euphyes arpa"	325.050282	1
"Euphyes dion"	325.050752	1
"Euploea phaenareta"	448.785462	2
"Euploea radamanthus"	325.050862	1
"Euptoieta claudia"	1376.269646	11
"Euptychoides eugenia"	325.050732	1
"Eurema mandarina"	437.752352	2
"Eurema mexicana"	325.050502	1
"Euriphellus euribates"	325.0502	1
"Euriphene amicia"	325.050484	1
"Euripus nyctelius"	511.220862	3
"Euryades corethrus"	325.05077	1
"Eurybia lycisca"	325.050952	1
"Eurytela dryope"	671.623043	4
"Eurytides dioxippus"	325.05054	1
"Eurytides dolicaon"	452.752303	2
"Eurytides marcellus"	325.05054	1
"Eurytides philolaus"	325.05054	1
"Euschemon rafflesia"	325.050763	1
"Euselasia chrysippe"	325.050735	1
"Euthalia evelina"	778.060572	5
"Euthalia lubentina"	325.050922	1
"Euthaliopsis aetion"	325.050687	1
"Eutresis hypereia"	325.050802	1
"Euxanthe eurinome"	443.629754	2
"Evena crithea"	448.785144	2
"Evenus regalis"	444.924694	2
"Exometoeca nycteris"	325.050162	1
"Exoplisia cadmeis"	325.050645	1
"Falga jeconia"	325.050732	1
"Faunis eumeus"	561.699932	3
"Feniseca tarquinius"	0	0
"Flos apidanus"	515.008885	3
"Forsterinaria pronophila"	325.050732	1
"Fountainea nessus"	325.050262	1
"Fresna netopha"	443.629754	2
"Fresna nyassae"	443.629754	2
"Freyeria trochylus"	564.570847	3
"Gamia buchholzi"	439.650792	2
"Gamia shelleyi"	439.650792	2
"Gandaca harina"	576.749531	3
"Gangara thyrsis"	423.259982	2
"Ganyra josephina"	384.526165	2
"Ganyra phaloe"	325.050395	1
"Gegenes pumilio"	325.050732	1
"Geitoneura klugii"	325.050732	1
"Gerosis bhagava"	460.809012	2
"Gesta gesta"	325.050502	1
"Gideona lucasi"	325.050612	1
"Glabroculus cyane"	325.050352	1
"Glaucopsyche lygdamus"	325.050502	1
"Glennia pylotis"	407.552165	3
"Glutophrissa drusilla"	684.74913	6
"Gnophodes betsimena"	325.050732	1
"Godyris duillia"	325.050802	1
"Gomalia elma"	325.050645	1
"Gonepteryx rhamni"	424.012652	2
"Gonerilia seraphim"	325.050508	1
"Grais stigmaticus"	325.049924	1
"Graphium agamemnon"	433.43054	2
"Graphium evemon"	697.044855	4
"Graphium sarpedon"	669.036903	4
"Greta morgane"	325.050802	1
"Gretna cylinda"	325.050952	1
"Gunayan rubricollis"	325.0502	1
"Gyrocheilus patrobas"	325.050732	1
"Habrodais grunus"	325.050512	1
"Hades noctula"	584.696818	3
"Haematera pyrame"	325.050844	1
"Haetera piera"	325.050282	1
"Halotus rica"	325.050732	1
"Halpe porus"	325.050732	1
"Hamadryas amphinome"	448.784971	2
"Hamanumida daedalus"	584.697245	3
"Hamearis lucina"	325.050484	1
"Harma theobene"	509.413498	3
"Hasora badra"	325.050502	1
"Hasora chromus"	628.694583	4
"Hayashikeia courvoisieri"	325.050542	1
"Hebomoia glaucippe"	407.552165	3
"Helias phalaenoides"	325.049924	1
"Heliconius atthis"	325.050658	1
"Heliconius besckei"	325.050658	1
"Heliconius charithonia"	325.050658	1
"Heliconius cydno"	325.050658	1
"Heliconius eleuchia"	325.050658	1
"Heliconius elevatus"	325.050658	1
"Heliconius erato"	325.050658	1
"Heliconius ethilla"	325.050658	1
"Heliconius hecale"	325.050658	1
"Heliconius hermathena"	325.050658	1
"Heliconius heurippa"	325.050658	1
"Heliconius hewitsoni"	325.050658	1
"Heliconius himera"	325.050658	1
"Heliconius hortense"	325.050658	1
"Heliconius ismenius"	325.050658	1
"Heliconius melpomene"	325.050658	1
"Heliconius numata"	325.050658	1
"Heliconius pardalinus"	325.050658	1
"Heliconius ricini"	325.050658	1
"Heliconius sapho"	325.050658	1
"Heliconius sara"	325.050658	1
"Heliconius timareta"	325.050658	1
"Heliconius wallacei"	325.050658	1
"Heliconius xanthocles"	325.050658	1
"Helicopis cupido"	325.050282	1
"Heliopetes ericetorum"	325.050645	1
"Heliophorus epicles"	325.050152	1
"Heliopyrgus domicella"	325.050645	1
"Hemiolaus caeculus"	325.050922	1
"Heraclides aristodemus"	325.049924	1
"Heraclides cresphontes"	325.049924	1
"Heraclides thoas"	460.962694	2
"Herimosa albovenata"	325.050732	1
"Hermeuptychia hermes"	325.050732	1
"Hermeuptychia sosybius"	325.050732	1
"Herona marathus"	325.050872	1
"Hesperia comma"	554.630612	3
"Hesperia meskei"	325.050732	1
"Hesperilla ornata"	325.050752	1
"Hesperocharis marchalii"	525.230405	3
"Hesperopsis alpheus"	325.050352	1
"Hestina assimilis"	325.050872	1
"Hestinalis nama"	325.050262	1
"Hestina persimilis"	398.519362	2
"Heteronympha merope"	418.872232	2
"Heteropterus morpheus"	418.872232	2
"Heterosais nephele"	325.050802	1
"Hewitsonia intermedia"	0	0
"Hewitsoniella migonitis"	325.050282	1
"Hidari irava"	431.784452	2
"Hipparchia senthes"	325.050732	1
"Historis odius"	325.050262	1
"Horaga onyx"	806.477073	5
"Howarthia caelestis"	325.050542	1
"Hyarotis adrastus"	325.050282	1
"Hylephila phyleus"	325.050732	1
"Hypanartia lethe"	398.519362	2
"Hypaurotis crysalus"	325.050512	1
"Hypermnestra helios"	325.050902	1
"Hyphilaria thasus"	439.652142	2
"Hypna clytemnestra"	325.050651	1
"Hypochrysops polycletus"	325.050687	1
"Hypoleria lavinia"	325.050802	1
"Hypoleucis tripunctata"	325.050972	1
"Hypolimnas anthedon"	448.784582	2
"Hypolimnas bolina"	1261.066165	11
"Hypolimnas misippus"	832.510695	7
"Hypolycaena phorbas"	1482.442708	12
"Hypolycaena sipylus"	538.536715	3
"Hyponephele lycaon"	325.050732	1
"Hypothyris euclea"	325.050802	1
"Hypsochila wagenknechti"	325.050395	1
"Iambrix salsala"	325.050732	1
"Idea leuconoe"	325.050552	1
"Ideopsis gaura"	325.050552	1
"Ideopsis vitrea"	431.792022	2
"Inbio hilara"	325.050732	1
"Iolana iolas"	448.785092	2
"Iolaus bellina"	325.050922	1
"Iophanus pyrrhias"	325.050152	1
"Iphiclides podalirius"	325.050892	1
"Ipidecla miadora"	325.050502	1
"Iraota rochana"	437.752362	2
"Iratsume orsedice"	447.456212	2
"Iridana perdita"	0	0
"Isma bononia"	325.050732	1
"Isoteinon lamprospilus"	325.050732	1
"Issoria baumanni"	325.050678	1
"Issoria lathonia"	677.272748	4
"Ithomia drymo"	325.050802	1
"Ithomia patilla"	325.050802	1
"Ixias pyrene"	325.050465	1
"Jacoona anasuja"	325.050922	1
"Jalmenus evagoras"	325.050502	1
"Jameela palmyra"	325.050922	1
"Jamides bochus"	325.050502	1
"Japonica saepestriata"	325.050512	1
"Jemadia pseudognetus"	325.050763	1
"Jonaspyge aesculapus"	325.050751	1
"Juditha caucana"	1427.370431	11
"Junea doraete"	325.050732	1
"Junonia coenia"	557.778642	6
"Junonia natalica"	419.485322	3
"Kallima limborgii"	325.049922	1
"Kallima paralekta"	325.049922	1
"Kallimoides rumia"	325.049922	1
"Kaniska canace"	380.626882	2
"Kedestes barberae"	325.050732	1
"Kirinia epimenides"	418.872232	2
"Kisutam syllis"	325.050844	1
"Kolana ligurina"	780.053313	5
"Kretania psylorita"	325.050502	1
"Kricogonia lyside"	325.050902	1
"Lachnocnema bibulus"	0	0
"Lachnoptera ayresii"	419.915951	2
"Laeosopis roboris"	325.050562	1
"Lampides boeticus"	421.125402	2
"Lamprolenis nitida"	325.050732	1
"Lamproptera curius"	325.05036	1
"Lamproptera meges"	460.962284	2
"Laothus barajo"	325.050272	1
"Lasaia agesilas"	325.050502	1
"Lasaia sula"	325.050502	1
"Lasiommata megera"	325.050732	1
"Lebadea martha"	564.571421	3
"Lemonias zygia"	325.050651	1
"Leodonta tellane"	325.05083	1
"Lepella lepeletier"	431.785142	2
"Lepidochrysops patricia"	372.321976	2
"Leptalina unicolor"	325.050732	1
"Leptidea juvernica"	325.050502	1
"Leptidea reali"	325.050502	1
"Leptidea sinapis"	325.050502	1
"Leptomyrina gorgias"	448.785612	2
"Leptophobia eleone"	325.050405	1
"Leptosia alcesta"	448.784785	2
"Leptotes cassius"	448.784902	2
"Lerema accius"	325.050732	1
"Lerodea eufala"	418.872232	2
"Lethe anthedon"	460.809295	2
"Lethe dura"	325.050732	1
"Lethe europa"	325.050732	1
"Lethe rohria"	325.050732	1
"Leucantigius atayalica"	325.050512	1
"Leucidia brephos"	325.050502	1
"Leucochimona icare"	460.808862	2
"Leucochitonea levubu"	325.050645	1
"Lexias aeropa"	325.050687	1
"Libythea celtis"	424.012672	2
"Libythea lepita"	325.050872	1
"Lieinix nemesis"	325.050502	1
"Limenitis arthemis"	827.997114	6
"Limenitis cottini"	325.050658	1
"Limenitis populi"	325.050658	1
"Limenitis sulpitia"	325.050432	1
"Lipaphnaeus aderna"	325.050484	1
"Liphyra brassolis"	0	0
"Logania malayica"	0	0
"Lopinga deidamia"	418.872232	2
"Lotongus calathus"	325.050282	1
"Loxura atymnus"	444.822932	2
"Lucia limbaria"	325.050771	1
"Lucinia cadma"	448.785444	2
"Luehdorfia japonica"	325.05077	1
"Luehdorfia puziloi"	325.05077	1
"Luthrodes cleotas"	325.0504	1
"Lycaena hippothoe"	325.050152	1
"Lycas argentea"	325.050952	1
"Lychnuchoides ozias"	325.050952	1
"Lycorea halia"	683.150254	4
"Lysandra coridon"	325.050502	1
"Macrosoma hyacinthina"	325.050645	1
"Macrosoma rubedinaria"	325.050645	1
"Macrosoma tipulata"	325.050645	1
"Magnastigma hirsuta"	325.050763	1
"Magneuptychia alcinoe"	325.050732	1
"Magneuptychia libye"	325.050732	1
"Magneuptychia ocnus"	325.050732	1
"Mahathala ameria"	448.784961	2
"Manataria hercyna"	325.050732	1
"Mandarinia regalis"	325.049782	1
