"PD"	"SR"
"Melanitis leda"	325.050732	1
"Melanocyma faunula"	0	0
"Melanolycaena altimontana"	0	0
"Melete lycimnia"	325.05083	1
"Melinaea menophilus"	0	0
"Melitaea cinxia"	431.792032	2
"Melphinyet flavina"	325.050651	1
"Melphinyet tarace"	0	0
"Memphis pithyusa"	325.050651	1
"Mesene croceella"	325.050502	1
"Mesene phareus"	443.629754	2
"Mesodina halyzia"	325.050232	1
"Mesosemia grandis"	325.050502	1
"Mesoxantha ethosea"	325.050651	1
"Mestra dorcas"	325.050651	1
"Metacharis umbrata"	0	0
"Metamorpha elissa"	0	0
"Methona themisto"	325.050802	1
"Metisella metis"	325.050732	1
"Meza meza"	325.050732	1
"Michaelus ira"	0	0
"Microceris variicolor"	0	0
"Microtia elva"	325.049922	1
"Miletus symethus"	0	0
"Mimathyma chevana"	325.050862	1
"Mimeresia libentina"	0	0
"Mimoides xynias"	0	0
"Mimoniades ocyalus"	0	0
"Ministrymon leda"	325.050502	1
"Minois dryas"	418.872232	2
"Mnasilus allubita"	325.050732	1
"Moduza procris"	325.050502	1
"Moeros moeros"	325.050282	1
"Monza punctata"	325.050732	1
"Morpho helenor"	860.515947	6
"Morphopsis albertisi"	325.050732	1
"Morvina morvus"	0	0
"Morys compta"	0	0
"Mota massyla"	0	0
"Motasingha trimaculata"	431.784672	2
"Mycalesis francisca"	325.050732	1
"Mycalesis tagala"	0	0
"Mygona irmina"	0	0
"Mylothris chloris"	406.52363	2
"Myrina silenus"	325.050862	1
"Myscelia cyaniris"	325.050651	1
"Myscelia orsis"	325.050651	1
"Myscelus amystis"	404.199254	2
"Myscelus belti"	325.050854	1
"Myscelus epimachia"	0	0
"Myscelus nobilis"	325.05007	1
"Mysoria barcastus"	325.050658	1
"Nabokovia faga"	0	0
"Nacaduba kurava"	699.753956	5
"Napaea eucharila"	325.051232	1
"Napeocles jucunda"	0	0
"Narcosius colossus"	0	0
"Nascus phocus"	325.050844	1
"Nastra julia"	325.050732	1
"Nathalis iole"	763.251472	5
"Neita neita"	0	0
"Nelia nemyroides"	0	0
"Neocoenyra duplex"	325.050732	1
"Neohesperilla croceus"	325.050732	1
"Neohesperilla xanthomera"	325.050732	1
"Neolucia agricola"	325.050502	1
"Neolysandra diana"	0	0
"Neominois ridingsii"	325.050732	1
"Neomyrina nivea"	460.963225	2
"Neonympha areolatus"	418.872232	2
"Neophasia menapia"	325.0504	1
"Neopithecops zalmora"	448.784456	2
"Neorina crishna"	0	0
"Neoxeniades braesia"	0	0
"Neozephyrus japonica"	325.050508	1
"Neozephyrus orientalis"	325.050512	1
"Neptidopsis ophione"	325.050651	1
"Neptis sappho"	720.995385	5
"Neruda aoede"	0	0
"Nesolycaena albosericea"	325.049924	1
"Nesoxenica leprea"	325.050752	1
"Nessaea aglaura"	325.050651	1
"Netrobalane canopus"	325.050645	1
"Netrocoryne repanda"	1333.492996	8
"Neurellipes lusones"	0	0
"Nica flavilla"	325.050844	1
"Ninguta schrenkii"	418.872232	2
"Niphanda fusca"	0	0
"Noctuana haematospila"	0	0
"Nosea hainanensis"	0	0
"Notheme erota"	325.050732	1
"Nothodanis schaeffera"	325.050771	1
"Notocrypta curvifascia"	429.443172	3
"Notocrypta feisthamelii"	429.443172	3
"Nyctelius nyctelius"	325.050732	1
"Nymphalis antiopa"	803.586104	6
"Nymphalis xanthomelas"	638.585411	4
"Nymphidium caricae"	0	0
"Nymphidium onaeum"	440.836557	2
"Oarisma garita"	325.050732	1
"Oboronia punctatus"	325.050972	1
"Ocaria ocrisia"	443.629764	2
"Ochlodes sylvanoides"	325.050732	1
"Ocybadistes flavovittata"	325.050732	1
"Ocybadistes walkeri"	439.651442	2
"Odina hieroglyphica"	0	0
"Odontoptilum angulata"	429.309384	2
"Oeneis norna"	418.872232	2
"Oenomaus ortygnus"	325.05054	1
"Oerane microthyrus"	325.050282	1
"Ogyris amaryllis"	325.050922	1
"Oileides azines"	0	0
"Oleria aquata"	325.050802	1
"Oligoria maculata"	325.050732	1
"Olyras crathis"	325.050802	1
"Onophas columbaria"	0	0
"Opoptera aorsa"	325.050732	1
"Opsiphanes tamarindi"	476.221552	4
"Orachrysops niobe"	325.050502	1
"Oraidium barberae"	448.785662	2
"Oreisplanus munionga"	325.050752	1
"Oreixenica lathoniella"	325.050732	1
"Oressinoma typhla"	325.050752	1
"Oriens gola"	325.050732	1
"Orinoma damaris"	0	0
"Orphe gerasa"	0	0
"Orses cynisca"	0	0
"Orsotriaena medus"	325.050732	1
"Ortilia liriope"	527.828822	4
"Osmodes laronia"	325.050952	1
"Oxynetra stangelandi"	0	0
"Oxynthes corusca"	0	0
"Pachliopta aristolochiae"	325.05077	1
"Pachliopta kotzebuea"	325.05077	1
"Pachythone gigas"	0	0
"Pachythone xanthe"	0	0
"Pagyris cymothoe"	325.050802	1
"Palaeonympha opalina"	325.050732	1
"Palla ussheri"	448.784774	2
"Panacea procilla"	0	0
"Pandita sinope"	325.050502	1
"Panoquina lucas"	325.050732	1
"Panoquina ocola"	325.050732	1
"Panoquina panoquin"	418.872232	2
"Panthiades hebraeus"	437.752392	2
"Pantoporia hordonia"	325.050502	1
"Panyapedaliodes drymaea"	0	0
"Papias subcostulata"	0	0
"Papilio alexanor"	325.050162	1
"Papilio ambrax"	448.784474	2
"Papilio clytia"	325.050763	1
"Papilio deiphobus"	325.049924	1
"Papilio elwesi"	452.752303	2
"Papilio gigon"	325.049924	1
"Papilio joanae"	325.050162	1
"Papilio machaon"	542.514434	3
"Papilio memnon"	460.962464	2
"Papilio phestus"	325.049924	1
"Papilio polytes"	325.049924	1
"Papilio polyxenes"	448.784134	2
"Papilio protenor"	325.049924	1
"Papilio slateri"	325.050763	1
"Papilio xuthus"	460.962694	2
"Papilio zelicaon"	448.784134	2
"Paracarystus hypargyra"	0	0
"Parachoranthus magdalia"	0	0
"Paralethe dendrophilus"	325.050732	1
"Paralucia pyrodiscus"	325.050232	1
"Paramacera xicaque"	0	0
"Paramimus scurra"	0	0
"Parantica aglea"	325.050552	1
"Parantica sita"	325.050552	1
"Pararge aegeria"	325.050732	1
"Parasarpa daraxa"	325.050658	1
"Paratisiphone lyrnessa"	0	0
"Paratrytone snowi"	325.050732	1
"Pardaleodes edipus"	0	0
"Pardaleodes incerta"	325.050732	1
"Pardopsis punctatissima"	325.050678	1
"Parelbella ahira"	0	0
"Parelbella macleannani"	0	0
"Pareronia valeria"	325.050465	1
"Pareuptychia hesionides"	325.050732	1
"Pareuptychia ocirrhoe"	418.872232	2
"Parides agavus"	325.05077	1
"Parides eurimedes"	325.05077	1
"Parides photinus"	325.05077	1
"Parnara apostata"	325.050732	1
"Parnara guttatus"	418.872232	2
"Parnassius apollo"	325.051262	1
"Parnassius imperator"	325.050692	1
"Parnassius smintheus"	325.051262	1
"Parosmodes morantii"	540.26846	3
"Parrhasius polibetes"	440.836521	2
"Parthenos sylvina"	572.517768	3
"Paryphthimoides eous"	325.050732	1
"Paryphthimoides poltys"	325.050732	1
"Pasma tasmanicus"	325.050732	1
"Passova gellias"	325.050854	1
"Passova passova"	325.050854	1
"Patricia dercyllidas"	0	0
"Patsuia sinensium"	325.050658	1
"Pellicia arina"	0	0
"Pellicia dimidiata"	325.050802	1
"Pelopidas mathias"	418.872232	2
"Penthema adelma"	325.050732	1
"Pentila pauli"	0	0
"Pentila tropicalis"	0	0
"Perichares lotus"	0	0
"Periplacis pretus"	325.050292	1
"Perisama bomplandii"	325.050844	1
"Perophthalma lasus"	0	0
"Perrhybris pamela"	325.050465	1
"Petrelaea dana"	325.050105	1
"Phaedyma columella"	672.11746	4
"Phaeostrymon alcestis"	325.050844	1
"Phalanta eurytis"	437.071658	2
"Phalanta phalantha"	852.687528	6
"Phanus vitreus"	0	0
"Phareas coeleste"	325.050502	1
"Pharmacophagus antenor"	325.05077	1
"Pharneuptychia phares"	0	0
"Phasis pringlei"	325.050602	1
"Phengaris atroguttata"	325.050552	1
"Phengaris nausithous"	325.050892	1
"Philaethria dido"	325.050658	1
"Philotes sonorensis"	325.051262	1
"Philotiella leona"	0	0
"Phlyaria cyara"	325.050502	1
"Phocides pigmalion"	325.050675	1
"Phocides polybius"	325.050685	1
"Phoebis agarithe"	325.050502	1
"Phoebis argante"	325.050502	1
"Phoebis sennae"	325.050502	1
"Pholisora catullus"	325.050352	1
"Pholisora mejicanus"	325.050352	1
"Phyciodes cocyta"	325.050272	1
"Phyciodes tharos"	325.050272	1
"Physcaeneura panda"	325.050732	1
"Phystis simois"	325.049922	1
"Pieriballia viardi"	0	0
"Pieris brassicae"	510.350665	4
"Pieris napi"	466.127195	3
"Pieris rapae"	548.628965	5
"Pierphulia rosea"	0	0
"Pinacopteryx eriphia"	325.050465	1
"Pirdana hyela"	325.050132	1
"Piruna aea"	0	0
"Piruna pirus"	325.050732	1
"Pithecops corvus"	567.363384	3
"Placidina euryanassa"	325.050802	1
"Plastingia naga"	325.050282	1
"Platylesches picanini"	325.050657	1
"Plautella cossaea"	0	0
"Plebejidea loewii"	325.050502	1
"Plebejus anna"	325.050502	1
"Plebejus argus"	1014.934701	7
"Plebejus idas"	448.785092	2
"Plebejus melissa"	325.050502	1
"Plebulina emigdionis"	448.784902	2
"Ploetzia amygdalis"	325.050282	1
"Poanes zabulon"	325.050732	1
"Poladryas arachne"	325.050532	1
"Polites vibex"	325.050732	1
"Polycaena tamerlana"	325.050484	1
"Polyctor polyctor"	0	0
"Polygonia c-album"	1023.871454	8
"Polygonia c-aureum"	658.377023	4
"Polygonus leo"	325.050502	1
"Polygonus savigny"	325.050502	1
"Polyommatus icarus"	325.050502	1
"Polythrix asine"	325.050502	1
"Polythrix octomaculata"	325.050502	1
"Polytremis lubricans"	325.050732	1
"Polyura eudamippus"	523.245732	3
"Pompeius verna"	325.050732	1
"Pontia beckerii"	407.552165	3
"Pontia daplidice"	384.526095	2
"Poritia hewitsoni"	325.050685	1
"Posttaygetis penelea"	0	0
"Potanthus omaha"	325.050732	1
"Praepedaliodes phanias"	325.050732	1
"Praephilotes anthracias"	448.784702	2
"Praetaxila segecia"	325.050484	1
"Pratapa deva"	446.435952	2
"Prepona claudina"	325.050658	1
"Prepona dexamenus"	0	0
"Prepona laertes"	559.415779	3
"Prioneris thestylis"	325.050465	1
"Problema byssus"	325.050732	1
"Proeidosa polysema"	325.050732	1
"Prolibythea carinenta"	448.785352	2
"Prosotas nora"	559.415773	3
"Protantigius superans"	440.836534	2
"Proteides mercurius"	325.050502	1
"Proterebia phegea"	0	0
"Protesilaus protesilaus"	325.05054	1
"Prothoe franckii"	325.05054	1
"Protogoniomorpha anacardii"	325.049922	1
"Protogoniomorpha parhassus"	325.049922	1
"Protonymphidia senta"	0	0
"Pseudacraea rubrobasalis"	0	0
"Pseudaletis agrippina"	0	0
"Pseudalmenus chlorinda"	325.050502	1
"Pseudargynnis hegemone"	325.050735	1
"Pseudergolis avesta"	325.050262	1
"Pseudochrysops bornoi"	325.050502	1
"Pseudocoladenia dan"	448.784902	2
"Pseudocopaeodes eunus"	325.050732	1
"Pseudodipsas eone"	584.544004	3
"Pseudolucia chilensis"	325.050802	1
"Pseudolucia parana"	0	0
"Pseudolycaena marsyas"	792.404645	5
"Pseudonacaduba aethiops"	0	0
"Pseudonascus paulliniae"	0	0
"Pseudoneptis bugandensis"	325.050862	1
"Pseudonympha trimenii"	325.050732	1
"Pseudopieris nehemia"	0	0
"Pseudopontia paradoxa"	446.43523	2
"Pseudopontia zambezi"	0	0
"Pseudoscada timna"	325.050802	1
"Pseudozizeeria maha"	681.382211	4
"Psolos fuligo"	325.050952	1
"Psychonotis caelius"	325.050852	1
"Ptelina carnuta"	0	0
"Pteronymia aletta"	325.050802	1
"Pteroteinon laufella"	325.050282	1
"Pterourus glaucus"	1396.609939	11
"Pterourus troilus"	707.243527	4
"Ptychandra lorquinii"	325.050732	1
"Pycina zamba"	0	0
"Pyrgus albescens"	325.050645	1
"Pyrgus carthami"	567.364265	3
"Pyrgus malvae"	325.050892	1
"Pyrgus scriptura"	325.050645	1
"Pyrisitia lisa"	325.050502	1
"Pyrisitia proterpia"	325.050502	1
"Pyronia tithonus"	325.050732	1
"Pyrrhiades lucagus"	325.050687	1
"Pyrrhocalles antiqua"	0	0
"Pyrrhochalcia iphis"	819.49994	5
"Pyrrhogyra neaerea"	325.050844	1
"Pyrrhogyra otolais"	325.050844	1
"Pyrrhopyge crida"	0	0
"Pyrrhopyge phidias"	443.62978	2
"Pyrrhopygopsis socrates"	325.050282	1
"Pythonides jovianus"	0	0
"Quadrus cerialis"	0	0
"Quedara monteithi"	325.050282	1
"Quinta cannae"	325.050952	1
"Rachana jalindra"	325.050922	1
"Ragadia luzonia"	0	0
"Ragadia makuta"	0	0
"Rapala varuna"	854.842264	6
"Rathinda amor"	980.259645	7
"Ravenna niveus"	325.050512	1
"Rekoa meton"	0	0
"Reliquia santamarta"	0	0
"Remelana jangala"	1189.842971	9
"Rhabdodryas trite"	325.050502	1
"Rhetus dysonii"	0	0
"Rhinopalpa polynice"	325.050262	1
"Rhinthon cubana"	0	0
"Rimisia miris"	325.050502	1
"Rohana parisatis"	325.050872	1
"Sabera caesina"	325.050282	1
"Sahulana scintillata"	443.629754	2
"Saigusaozephyrus atabyrius"	0	0
"Sais rosalia"	0	0
"Salanoemia sala"	325.050282	1
"Sarangesa dasahara"	325.049922	1
"Saribia perroti"	0	0
"Sarmientoia eriopis"	0	0
"Sarota myrtea"	460.963265	2
"Sasakia charonda"	325.050872	1
"Satarupa gopala"	325.049924	1
"Satarupa nymphalis"	325.049924	1
"Satyrium eximia"	325.050852	1
"Satyrium pruni"	424.012652	2
"Satyrium tengstroemi"	325.050502	1
"Satyrotaygetis satyrina"	325.050732	1
"Satyrus ferula"	325.050732	1
"Scolitantides orion"	325.051262	1
"Scolitantides vicrama"	325.050552	1
"Selenophanes cassiope"	0	0
"Semalea pulvina"	325.050972	1
"Semanga superba"	440.836521	2
"Sephisa chandra"	325.050512	1
"Sericinus montela"	325.05077	1
"Seseria dohertyi"	0	0
"Sevenia amulia"	325.050651	1
"Shaanxiana takashimai"	325.050562	1
"Shijimiaeoides divina"	325.050502	1
"Shirozua jonasi"	1316.19443	8
"Shizuyaozephyrus kyokoae"	0	0
"Sibataniozephyrus fujisanus"	325.050512	1
"Siderone galanthis"	325.050658	1
"Signeta flammeata"	325.050732	1
"Simiskina phalia"	325.050645	1
"Siproeta epaphus"	325.049922	1
"Sithon nedymond"	325.050675	1
"Sloperia proto"	325.050552	1
"Smyrna blomfildia"	325.050262	1
"Sophista latifasciata"	0	0
"Spalgis epeus"	0	0
"Spalgis lemolea"	0	0
"Spathilepia clonius"	325.050502	1
"Spialia colotes"	325.050645	1
"Spialia orbifer"	325.050892	1
"Spioniades artemides"	325.050502	1
"Splendeuptychia doxes"	325.050732	1
"Splendeuptychia libitina"	325.050732	1
"Stallingsia maculosus"	325.050132	1
"Staphylus ceos"	0	0
"Staphylus hayhurstii"	325.050352	1
"Steroma bega"	0	0
"Stibochiona coresia"	325.050262	1
"Stichelia bocchoris"	0	0
"Stichophthalma howqua"	431.784452	2
"Stinga morrisoni"	325.050732	1
"Strymon melinus"	1095.543701	8
"Stugeta bowkeri"	503.09823	3
"Stygionympha vigilans"	405.852132	2
"Suada swerga"	325.050732	1
"Suastus gremius"	325.050282	1
"Suniana sunias"	325.050732	1
"Surendra quercetorum"	325.050502	1
"Symbrenthia hippoclus"	325.050262	1
"Symmachia rubina"	325.050872	1
"Symphaedra nais"	515.578217	3
"Synale cynaxa"	0	0
"Synapte silius"	0	0
"Synargis calyce"	325.050645	1
"Systasea zampa"	325.050645	1
"Tagiades flesus"	565.066974	3
"Tagiades gana"	325.050632	1
"Tagiades japetus"	460.809312	2
"Tagiades litigiosa"	580.581495	3
"Tajuria cippus"	325.050922	1
"Talbotia naganum"	429.309154	2
"Talicada nyseus"	325.051262	1
"Talides sinois"	325.050962	1
"Tanaecia lepidea"	448.785267	2
"Tapena thwaitesi"	325.050502	1
"Taractrocera luzonensis"	0	0
"Taractrocera maevius"	325.050732	1
"Taraka hamada"	0	0
"Tarsoctenus corytus"	0	0
"Tartesa astarte"	325.050502	1
"Tarucus theophrastus"	325.050852	1
"Tatochila autodice"	567.364155	3
"Taxila haquinus"	325.050484	1
"Taygetina kerea"	325.050732	1
"Taygetis virgilia"	0	0
"Taygetis ypthima"	325.050732	1
"Tegosa claudina"	431.792076	2
"Teinopalpus imperialis"	325.05054	1
"Telemiades amphion"	325.050502	1
"Telicota augias"	399.739132	2
"Tellervo assarica"	0	0
"Tellervo zoilus"	528.691122	3
"Temenis laothoe"	325.050844	1
"Teniorhinus harona"	0	0
"Teniorhinus watsoni"	325.050502	1
"Teracolus subfasciatus"	325.050465	1
"Teratoneura isabellae"	0	0
"Teratozephyrus arisanus"	325.050512	1
"Terenthina terentia"	0	0
"Terinos clarissa"	419.412698	2
"Terinos terpander"	325.050667	1
"Teriocolias zelia"	0	0
"Teriomima subpunctata"	0	0
"Texola elada"	325.049922	1
"Thaduka multicaudata"	325.050651	1
"Thaleropis ionia"	325.050872	1
"Thamala marciana"	325.049505	1
"Thauria aliris"	325.050282	1
"Theagenes dichrous"	0	0
"Thecla betulae"	436.199208	2
"Theclinesthes miskini"	560.008334	3
"Theclopsis lydus"	0	0
"Theope publius"	325.050502	1
"Theope terambus"	0	0
"Theope virgilius"	882.39628	6
"Thereus orasus"	0	0
"Theritas mavors"	0	0
"Theritas triquetra"	0	0
"Thespieus macareus"	0	0
"Thestor protumnus"	0	0
"Thisbe irenea"	325.050651	1
"Thisbe lycorias"	325.050502	1
"Thoressa varia"	325.050732	1
"Thorybes bathyllus"	325.050502	1
"Thorybes confusis"	325.050502	1
"Thracides phidon"	325.050962	1
"Thymelicus lineola"	418.872232	2
"Thymelicus sylvestris"	325.050732	1
"Thyridia psidii"	325.050802	1
"Tigridia acesta"	443.629315	2
"Timelaea albescens"	325.050872	1
"Tirumala limniace"	448.785102	2
"Tisiphone abeona"	325.050752	1
"Tithorea tarricina"	325.050552	1
"Tmolus echion"	509.237052	4
"Tomares ballus"	325.050502	1
"Tongeia filicaudis"	325.051262	1
"Tongeia fischeri"	325.051262	1
"Torynesis mintha"	325.050732	1
"Toxidia parvulus"	325.050732	1
"Toxidia peron"	601.023242	4
"Trapezites petalia"	325.050132	1
"Trapezites symmomus"	325.050132	1
"Triclema nigeriae"	325.050502	1
"Triclema rufoplagata"	0	0
"Trimenia argyroplaga"	0	0
"Triskelionia tricerata"	0	0
"Trogonoptera brookiana"	325.05077	1
"Troides rhadamantus"	325.05077	1
"Troides richmondia"	0	0
"Tsitana tsita"	325.050732	1
"Turanana endymion"	325.050352	1
"Tuxentius melaena"	437.752352	2
"Udara albocaeruleus"	872.249482	6
"Udara dilectus"	325.050512	1
"Udaspes folus"	460.809402	2
"Udranomia kikkawai"	325.050651	1
"Udranomia orcinus"	0	0
"Unkana ambasa"	460.809112	2
"Urbanus dorantes"	325.050502	1
"Urbanus doryssus"	0	0
"Urbanus esmeraldus"	0	0
"Urbanus procne"	325.050732	1
"Urbanus proteus"	460.809112	2
"Vagrans egista"	448.784868	2
"Vanessa atalanta"	398.519362	2
"Vanessa indica"	596.269015	4
"Vanessa tameamea"	325.050262	1
"Vanessula milca"	0	0
"Vansomerenia rogersi"	0	0
"Veladyris pardalis"	0	0
"Venada nevada"	325.050763	1
"Vertica verticalis"	0	0
"Vettius lafrenaye"	325.050732	1
"Vindula arsinoe"	325.050658	1
"Wagimo signata"	325.050512	1
"Wallengrenia otho"	325.050732	1
"Wallengrenia premnas"	325.050732	1
"Xanthodisca vibius"	325.050972	1
"Xanthotaenia busiris"	0	0
"Xeniades orchamus"	325.050952	1
"Xenophanes tryxus"	325.050645	1
"Xois sesara"	325.050732	1
"Yamamotozephyrus kwangtungensis"	325.050512	1
"Yanguna cosyra"	325.050687	1
"Yoma sabina"	460.808532	2
"Ypthima argus"	418.872232	2
"Ypthimomorpha itonia"	0	0
"Yramea cytheris"	325.050678	1
"Zaretis callidryas"	325.050658	1
"Zaretis isidora"	0	0
"Zegris eupheme"	325.050395	1
"Zela zeus"	325.050282	1
"Zemeros flegyas"	325.050484	1
"Zenonia zeno"	325.050732	1
"Zerene cesonia"	325.050502	1
"Zerynthia cerisyi"	325.05077	1
"Zerynthia polyxena"	325.05077	1
"Zesius chrysomallus"	916.139225	6
"Zestusa dorus"	325.050512	1
"Zethera pimplea"	325.050732	1
"Ziegleria hesperitis"	0	0
"Zinaspa youngi"	325.050502	1
"Zintha hintza"	325.050852	1
"Zizeeria karsandra"	760.498222	5
"Zizeeria knysna"	987.711241	7
"Zizina otis"	325.050502	1
"Zizula hylax"	611.734611	4
"Zographetus ogygia"	460.809112	2
"Zophopetes cerymica"	325.050282	1
"Zophopetes dysmephila"	325.050282	1
